数据标识,数据格式,数据长度,单位,功能,数据项名称,数据内容
A010,XX.XXXX,3,kW,R,(当前)正向有功总最大需量,012345;
A011,XX.XXXX,3,kW,R,(当前)费率1正向有功最大需量,012345;
A012,XX.XXXX,3,kW,R,(当前)费率2正向有功最大需量,012345;
A013,XX.XXXX,3,kW,R,(当前)费率3正向有功最大需量,012345;
A014,XX.XXXX,3,kW,R,(当前)费率4正向有功最大需量,012345;
A01F,XX.XXXX,3,kW,R,(当前)正向有功最大需量数据块,012345;012345;012345;012345;012345;
A020,XX.XXXX,3,kW,R,(当前)反向有功总最大需量,012345;
A021,XX.XXXX,3,kW,R,(当前)费率1反向有功最大需量,012345;
A022,XX.XXXX,3,kW,R,(当前)费率2反向有功最大需量,012345;
A023,XX.XXXX,3,kW,R,(当前)费率3反向有功最大需量,012345;
A024,XX.XXXX,3,kW,R,(当前)费率4反向有功最大需量,012345;
A02F,XX.XXXX,3,kW,R,(当前)反向有功最大需量数据块,012345;012345;012345;012345;012345;
A110,XX.XXXX,3,kvarh,R,(当前)正向无功总最大需量,012345;
A111,XX.XXXX,3,kvarh,R,(当前)费率1正向无功最大需量,012345;
A112,XX.XXXX,3,kvarh,R,(当前)费率2正向无功最大需量,012345;
A113,XX.XXXX,3,kvarh,R,(当前)费率3正向无功最大需量,012345;
A114,XX.XXXX,3,kvarh,R,(当前)费率4正向无功最大需量,012345;
A11F,XX.XXXX,3,kvarh,R,(当前)正向无功最大需量数据块,012345;012345;012345;012345;012345;
A120,XX.XXXX,3,kvarh,R,(当前)反向无功总最大需量,012345;
A121,XX.XXXX,3,kvarh,R,(当前)费率1反向无功最大需量,012345;
A122,XX.XXXX,3,kvarh,R,(当前)费率2反向无功最大需量,012345;
A123,XX.XXXX,3,kvarh,R,(当前)费率3反向无功最大需量,012345;
A124,XX.XXXX,3,kvarh,R,(当前)费率4反向无功最大需量,012345;
A12F,XX.XXXX,3,kvarh,R,(当前)反向无功最大需量数据块,012345;012345;012345;012345;012345;
A130,XX.XXXX,3,kvarh,R,(当前)一象限无功总最大需量,012345;
A131,XX.XXXX,3,kvarh,R,(当前)费率1一象限无功最大需量,012345;
A132,XX.XXXX,3,kvarh,R,(当前)费率2一象限无功最大需量,012345;
A133,XX.XXXX,3,kvarh,R,(当前)费率3一象限无功最大需量,012345;
A134,XX.XXXX,3,kvarh,R,(当前)费率4一象限无功最大需量,012345;
A13F,XX.XXXX,3,kvarh,R,(当前)一象限无功最大需量数据块,012345;012345;012345;012345;012345;
A140,XX.XXXX,3,kvarh,R,(当前)四象限无功总最大需量,012345;
A141,XX.XXXX,3,kvarh,R,(当前)费率1四象限无功最大需量,012345;
A142,XX.XXXX,3,kvarh,R,(当前)费率2四象限无功最大需量,012345;
A143,XX.XXXX,3,kvarh,R,(当前)费率3四象限无功最大需量,012345;
A144,XX.XXXX,3,kvarh,R,(当前)费率4四象限无功最大需量,012345;
A14F,XX.XXXX,3,kvarh,R,(当前)四象限无功最大需量数据块,012345;012345;012345;012345;012345;
A150,XX.XXXX,3,kvarh,R,(当前)二象限无功总最大需量,012345;
A151,XX.XXXX,3,kvarh,R,(当前)费率1二象限无功最大需量,012345;
A152,XX.XXXX,3,kvarh,R,(当前)费率2二象限无功最大需量,012345;
A153,XX.XXXX,3,kvarh,R,(当前)费率3二象限无功最大需量,012345;
A154,XX.XXXX,3,kvarh,R,(当前)费率4二象限无功最大需量,012345;
A15F,XX.XXXX,3,kvarh,R,(当前)二象限无功最大需量数据块,012345;012345;012345;012345;012345;
A160,XX.XXXX,3,kvarh,R,(当前)三象限无功总最大需量,012345;
A161,XX.XXXX,3,kvarh,R,(当前)费率1三象限无功最大需量,012345;
A162,XX.XXXX,3,kvarh,R,(当前)费率2三象限无功最大需量,012345;
A163,XX.XXXX,3,kvarh,R,(当前)费率3三象限无功最大需量,012345;
A164,XX.XXXX,3,kvarh,R,(当前)费率4三象限无功最大需量,012345;
A16F,XX.XXXX,3,kvarh,R,(当前)三象限无功最大需量数据块,012345;012345;012345;012345;012345;
B611,XXX.X,2,V,R,A相电压,0203;
B612,XXX.X,2,V,R,B相电压,0356;
B613,XXX.X,2,V,R,C相电压,0214;
B621,XX.XX,2,A,R,A相电流,0134;
B622,XX.XX,2,A,R,B相电流,0256;
B623,XX.XX,2,A,R,C相电流,0753;
B630,XX.XXXX,3,kW,R,瞬时总有功功率,012045;
B631,XX.XXXX,3,kW,R,瞬时A有功功率,010000;
B632,XX.XXXX,3,kW,R,瞬时B有功功率,002000;
B633,XX.XXXX,3,kW,R,瞬时C有功功率,000045;
B640,XX.XXXX,3,kvarh,R,瞬时总无功功率,012045;
B641,XX.XXXX,3,kvarh,R,瞬时A无功功率,010000;
B642,XX.XXXX,3,kvarh,R,瞬时B无功功率,002000;
B643,XX.XXXX,3,kvarh,R,瞬时C无功功率,000045;
B650,X.XXX,2,,R,总功率因数,0999;
B651,X.XXX,2,,R,A相功率因数,0100;
B652,X.XXX,2,,R,B相功率因数,0500;
B653,X.XXX,2,,R,C相功率因数,0499;
